true_lambda,lambda,true_p,p,true_avg_N,avg_N,N
2,5.687862590064222,0.25,0.06545125154466092,2.0,5.55,"[8, 6, 5, 6, 1, 9, 5, 5, 7, 5, 4, 2, 7, 4, 7, 7, 4, 9, 3, 7]"
2,4.93424932208304,0.25,0.08510013063368493,2.0,4.4,"[2, 2, 8, 7, 4, 8, 5, 2, 2, 8, 4, 2, 3, 5, 5, 2, 3, 6, 5, 5]"
2,3.2991358383451916,0.25,0.1685905928490986,2.0,2.5,"[2, 3, 1, 1, 1, 5, 5, 3, 3, 2, 1, 4, 2, 4, 2, 3, 2, 2, 3, 1]"
2,3.8584496228607783,0.25,0.1318541607400897,2.0,3.65,"[2, 2, 7, 4, 4, 5, 3, 4, 3, 4, 4, 2, 6, 2, 4, 3, 4, 4, 3, 3]"
2,3.4999745335219,0.25,0.10873900606665787,2.0,3.65,"[3, 5, 2, 7, 2, 6, 4, 3, 4, 5, 1, 4, 2, 3, 4, 3, 7, 3, 2, 3]"
2,5.9131125338202475,0.25,0.09101205415818625,2.0,6.65,"[9, 9, 12, 6, 7, 6, 6, 3, 6, 4, 6, 7, 9, 7, 10, 6, 3, 5, 7, 5]"
2,4.597656061734621,0.25,0.08793483270565716,2.0,4.0,"[7, 2, 7, 9, 3, 6, 2, 2, 1, 2, 5, 4, 3, 5, 2, 2, 2, 6, 5, 5]"
2,4.570215453314677,0.25,0.08838027563099704,2.0,4.9,"[5, 6, 4, 2, 9, 6, 6, 8, 6, 3, 4, 4, 2, 5, 10, 1, 3, 7, 3, 4]"
2,5.984166173588561,0.25,0.0735042466899869,2.0,6.05,"[10, 9, 4, 5, 10, 4, 6, 5, 3, 9, 5, 5, 4, 6, 9, 5, 5, 8, 4, 5]"
2,3.88749487502221,0.25,0.09366893796575548,2.0,3.4,"[5, 4, 3, 4, 3, 5, 3, 2, 3, 2, 2, 1, 5, 3, 7, 1, 4, 5, 3, 3]"
2,3.0763576896354605,0.25,0.1725794291804008,2.0,2.6,"[2, 4, 3, 2, 2, 6, 2, 3, 1, 4, 2, 2, 3, 1, 2, 1, 6, 2, 2, 2]"
2,5.902395661061922,0.25,0.07053940256946933,2.0,7.0,"[6, 9, 7, 7, 9, 6, 11, 4, 7, 8, 10, 6, 2, 8, 6, 8, 5, 12, 5, 4]"
2,5.655766079041049,0.25,0.07210108166893403,2.0,6.2,"[6, 10, 6, 5, 6, 7, 6, 7, 2, 8, 5, 10, 4, 4, 11, 5, 8, 7, 4, 3]"
2,2.8530834606811992,0.25,0.28492022320106136,2.0,2.05,"[1, 2, 1, 2, 4, 4, 3, 2, 1, 5, 2, 0, 1, 1, 3, 2, 3, 2, 2, 0]"
2,5.115506250858395,0.25,0.07550875928840495,2.0,6.55,"[6, 5, 10, 8, 1, 6, 6, 7, 10, 6, 5, 8, 6, 5, 9, 7, 5, 9, 7, 5]"
2,5.063224105688227,0.25,0.07260415895911065,2.0,5.95,"[7, 4, 7, 3, 5, 10, 8, 9, 6, 3, 3, 6, 5, 8, 6, 5, 4, 11, 2, 7]"
2,5.111466374549385,0.25,0.08445102150824757,2.0,5.0,"[4, 6, 4, 7, 1, 6, 8, 3, 8, 4, 8, 4, 3, 5, 9, 4, 4, 5, 3, 4]"
2,3.6904778832720306,0.25,0.0796872486434439,2.0,3.7,"[1, 2, 3, 4, 3, 9, 7, 5, 2, 4, 3, 4, 2, 5, 4, 5, 3, 3, 5, 0]"
2,5.814389986268445,0.25,0.09386141038053086,2.0,6.25,"[6, 4, 6, 8, 6, 7, 6, 7, 6, 3, 9, 7, 4, 7, 9, 5, 11, 9, 4, 1]"
2,5.7938401299589,0.25,0.08915795264658433,2.0,5.95,"[3, 4, 6, 5, 4, 11, 4, 5, 5, 3, 8, 5, 1, 11, 6, 8, 8, 11, 4, 7]"
2,4.3386326583668025,0.25,0.12480426788060184,2.0,3.95,"[4, 2, 3, 4, 5, 5, 5, 5, 3, 8, 2, 5, 5, 4, 7, 2, 3, 3, 1, 3]"
2,4.648213942748962,0.25,0.10621562946901209,2.0,4.85,"[1, 3, 5, 7, 4, 7, 4, 4, 9, 5, 4, 3, 6, 3, 9, 5, 1, 11, 2, 4]"
2,5.842432231701938,0.25,0.1013961907413038,2.0,5.55,"[7, 3, 6, 7, 6, 9, 4, 4, 6, 5, 7, 5, 7, 7, 8, 2, 2, 8, 5, 3]"
2,4.201190418119253,0.25,0.1204423523571796,2.0,3.8,"[5, 6, 5, 4, 3, 4, 2, 5, 2, 5, 4, 6, 2, 3, 3, 3, 5, 4, 4, 1]"
2,3.3534353020054164,0.25,0.1654374906048809,2.0,3.3,"[4, 3, 2, 2, 4, 4, 2, 4, 2, 3, 2, 5, 5, 2, 7, 5, 2, 3, 5, 0]"
