lambda,p,avg_N,total_N,total_time,prop_sparsity,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9,N_10
9.786500595089054,0.14511344872277546,9.0,90.0,35.69169,0.2833333333333333,10.0,16.0,5.0,6.0,8.0,8.0,15.0,6.0,7.0,9.0
9.786500595089054,0.14511344872277546,9.0,90.0,35.69169,0.2833333333333333,10.0,16.0,5.0,6.0,8.0,8.0,15.0,6.0,7.0,9.0
9.786500595089054,0.14511344872277546,9.0,90.0,35.69169,0.2833333333333333,10.0,16.0,5.0,6.0,8.0,8.0,15.0,6.0,7.0,9.0
9.786500595089054,0.14511344872277546,9.0,90.0,35.69169,0.2833333333333333,10.0,16.0,5.0,6.0,8.0,8.0,15.0,6.0,7.0,9.0
9.786500595089054,0.14511344872277546,9.0,90.0,35.69169,0.2833333333333333,10.0,16.0,5.0,6.0,8.0,8.0,15.0,6.0,7.0,9.0
9.786500595089054,0.14511344872277546,9.0,90.0,35.69169,0.2833333333333333,10.0,16.0,5.0,6.0,8.0,8.0,15.0,6.0,7.0,9.0
9.786500595089054,0.14511344872277546,9.0,90.0,35.69169,0.2833333333333333,10.0,16.0,5.0,6.0,8.0,8.0,15.0,6.0,7.0,9.0
9.786500595089054,0.14511344872277546,9.0,90.0,35.69169,0.2833333333333333,10.0,16.0,5.0,6.0,8.0,8.0,15.0,6.0,7.0,9.0
9.786500595089054,0.14511344872277546,9.0,90.0,35.69169,0.2833333333333333,10.0,16.0,5.0,6.0,8.0,8.0,15.0,6.0,7.0,9.0
9.786500595089054,0.14511344872277546,9.0,90.0,35.69169,0.2833333333333333,10.0,16.0,5.0,6.0,8.0,8.0,15.0,6.0,7.0,9.0
9.786500595089054,0.14511344872277546,9.0,90.0,35.69169,0.2833333333333333,10.0,16.0,5.0,6.0,8.0,8.0,15.0,6.0,7.0,9.0
9.786500595089054,0.14511344872277546,9.0,90.0,35.69169,0.2833333333333333,10.0,16.0,5.0,6.0,8.0,8.0,15.0,6.0,7.0,9.0
9.786500595089054,0.14511344872277546,9.0,90.0,35.69169,0.2833333333333333,10.0,16.0,5.0,6.0,8.0,8.0,15.0,6.0,7.0,9.0
9.786500595089054,0.14511344872277546,9.0,90.0,35.69169,0.2833333333333333,10.0,16.0,5.0,6.0,8.0,8.0,15.0,6.0,7.0,9.0
7.839751882625163,0.1614883374207397,8.9,89.0,35.69169,0.2833333333333333,11.0,13.0,7.0,3.0,8.0,10.0,16.0,5.0,7.0,9.0
8.264447927594821,0.14714739373868083,8.4,84.0,35.69169,0.2833333333333333,7.0,15.0,9.0,3.0,10.0,9.0,11.0,2.0,11.0,7.0
8.264447927594821,0.14714739373868083,8.4,84.0,35.69169,0.2833333333333333,7.0,15.0,9.0,3.0,10.0,9.0,11.0,2.0,11.0,7.0
