lambda,p,avg_N,total_N,total_time,prop_sparsity,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9,N_10
2.439613712110686,0.5170350354462084,2.6,26.0,49.06109,0.2833333333333333,3.0,3.0,3.0,1.0,2.0,3.0,4.0,2.0,2.0,3.0
3.5879656627263454,0.48352858408944077,3.1,31.0,49.06109,0.2833333333333333,3.0,6.0,3.0,1.0,2.0,3.0,4.0,2.0,5.0,2.0
2.639052280134721,0.39977735510619866,2.7,27.0,49.06109,0.2833333333333333,3.0,4.0,3.0,1.0,2.0,2.0,4.0,3.0,3.0,2.0
2.823596798138143,0.5061886575978823,2.7,27.0,49.06109,0.2833333333333333,3.0,3.0,3.0,1.0,2.0,2.0,4.0,3.0,4.0,2.0
3.780468329294612,0.4419736949071972,2.9,29.0,49.06109,0.2833333333333333,3.0,5.0,3.0,1.0,3.0,2.0,4.0,2.0,3.0,3.0
3.335440303444265,0.41005214708191245,3.0,30.0,49.06109,0.2833333333333333,3.0,4.0,3.0,1.0,3.0,2.0,4.0,2.0,5.0,3.0
3.327206288940778,0.406748710364597,2.8,28.0,49.06109,0.2833333333333333,3.0,4.0,3.0,1.0,2.0,2.0,4.0,2.0,4.0,3.0
3.761303733228555,0.4405426608482364,2.9,29.0,49.06109,0.2833333333333333,3.0,3.0,3.0,1.0,2.0,5.0,4.0,2.0,4.0,2.0
3.7770844366686083,0.4696691160890204,2.9,29.0,49.06109,0.2833333333333333,3.0,3.0,3.0,1.0,3.0,2.0,5.0,2.0,4.0,3.0
2.8398138467694563,0.47669786299180855,2.6,26.0,49.06109,0.2833333333333333,3.0,3.0,3.0,1.0,2.0,2.0,6.0,2.0,2.0,2.0
2.35631791383493,0.4952453346826667,2.8,28.0,49.06109,0.2833333333333333,3.0,3.0,3.0,1.0,2.0,3.0,6.0,2.0,3.0,2.0
2.180913096562537,0.4491610155459945,2.5,25.0,49.06109,0.2833333333333333,3.0,3.0,3.0,1.0,2.0,2.0,4.0,2.0,3.0,2.0
3.0488280985304903,0.48919628416058203,2.5,25.0,49.06109,0.2833333333333333,3.0,3.0,3.0,1.0,2.0,2.0,4.0,2.0,3.0,2.0
2.6943242452465657,0.5299738144711982,2.5,25.0,49.06109,0.2833333333333333,3.0,3.0,3.0,1.0,2.0,2.0,4.0,3.0,2.0,2.0
2.5376975733215383,0.5242532577120435,2.6,26.0,49.06109,0.2833333333333333,3.0,4.0,3.0,1.0,2.0,2.0,4.0,3.0,2.0,2.0
2.5376975733215383,0.4758168159722598,2.6,26.0,49.06109,0.2833333333333333,3.0,3.0,3.0,1.0,2.0,2.0,4.0,2.0,4.0,2.0
2.5670800171559067,0.4951598017760831,2.5,25.0,49.06109,0.2833333333333333,3.0,4.0,3.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0
2.307818390362899,0.4768674203290803,2.5,25.0,49.06109,0.2833333333333333,3.0,3.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0
2.190226954388076,0.46906161174416944,2.5,25.0,49.06109,0.2833333333333333,3.0,3.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0
2.6206415296216714,0.49761775946539,2.5,25.0,49.06109,0.2833333333333333,3.0,3.0,3.0,1.0,2.0,3.0,4.0,2.0,2.0,2.0
3.0903326908583053,0.4600908599775899,2.7,27.0,49.06109,0.2833333333333333,3.0,3.0,3.0,1.0,2.0,3.0,4.0,2.0,4.0,2.0
3.4866680838501596,0.3997951501016292,2.8,28.0,49.06109,0.2833333333333333,3.0,3.0,3.0,1.0,2.0,4.0,5.0,2.0,3.0,2.0
2.8625072961307367,0.47131883343117753,2.6,26.0,49.06109,0.2833333333333333,3.0,3.0,3.0,1.0,2.0,2.0,4.0,2.0,4.0,2.0
3.0901741079549003,0.5201285256872772,2.6,26.0,49.06109,0.2833333333333333,3.0,3.0,3.0,1.0,2.0,2.0,4.0,2.0,4.0,2.0
2.935828433878568,0.5440008355316867,2.5,25.0,49.06109,0.2833333333333333,3.0,3.0,3.0,1.0,2.0,2.0,4.0,2.0,3.0,2.0
2.199909615599801,0.5410586428678748,2.4,24.0,49.06109,0.2833333333333333,3.0,3.0,3.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0
1.8982817598376387,0.5178535690490872,2.6,26.0,49.06109,0.2833333333333333,3.0,5.0,3.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0
1.7028978223379616,0.4411293339166403,2.6,26.0,49.06109,0.2833333333333333,3.0,3.0,3.0,1.0,2.0,2.0,5.0,2.0,2.0,3.0
2.0556355760271474,0.4590241289963567,2.9,29.0,49.06109,0.2833333333333333,3.0,3.0,3.0,1.0,2.0,3.0,5.0,2.0,4.0,3.0
