,Sites,visits,bound on lambda,Epochs,true_lam,est_lam,true_p,est_p,true_avg_N,est_avg_N,true_total_N,est_total_N,N_mae,num_accepted,acceptance_rate,total_time,prop_sparsity
0,5.0,6.0,15.0,40000.0,5.0,4.639401327527342,0.25,0.4047781786351517,6.0,4.623200773359112,30.0,23.11600386679556,1.6910230341011367,384.0,0.0128,11.33903,0.1333333333333333
1,10.0,6.0,15.0,40000.0,5.0,6.087330383394349,0.25,0.2249240319695576,5.9,6.051111703723458,59.0,60.51111703723458,1.3083036101203376,52.0,0.0017333333333333,11.72099,0.2833333333333333
2,20.0,6.0,15.0,40000.0,5.0,10.48434482287486,0.25,0.1337414506995283,5.35,10.661698723290776,107.0,213.23397446581552,5.311698723290776,27.0,0.0009,11.45405,0.3083333333333333
3,40.0,6.0,15.0,40000.0,5.0,11.11247370186284,0.25,0.1082230235922237,5.125,11.487007066902232,205.0,459.4802826760893,6.36200706690223,17.0,0.0005666666666666,11.87148,0.2958333333333333
4,100.0,6.0,15.0,40000.0,5.0,14.85087340232328,0.25,0.0809934851253104,5.08,14.73264808826961,508.0,1473.264808826961,9.673520784026133,12.0,0.0004,13.75121,0.2933333333333333
5,20.0,6.0,6.0,40000.0,2.0,3.499858454602504,0.25,0.1236739842794145,2.0,3.521157371912397,40.0,70.42314743824794,1.7677055901863397,22.0,0.0007333333333333,11.3798,0.6416666666666667
6,20.0,6.0,15.0,40000.0,5.0,10.48434482287486,0.25,0.1337414506995283,5.35,10.661698723290776,107.0,213.23397446581552,5.311698723290776,27.0,0.0009,11.37409,0.3083333333333333
7,20.0,6.0,45.0,40000.0,15.0,33.228289207579564,0.25,0.1290990505557815,14.9,32.41784059468649,298.0,648.3568118937297,17.51784059468649,21.0,0.0007,11.24432,0.025
8,20.0,6.0,90.0,40000.0,30.0,44.67213847644684,0.25,0.1831407255601507,30.0,43.311822060735366,600.0,866.2364412147073,13.31182206073536,25.0,0.0008333333333333,11.67583,0.0
9,20.0,6.0,15.0,40000.0,5.0,9.666551124537396,0.1,0.0617036196879641,5.35,9.498959965332178,107.0,189.97919930664355,4.148959965332177,53.0,0.0017666666666666,11.19026,0.5666666666666667
10,20.0,6.0,15.0,40000.0,5.0,10.48434482287486,0.25,0.1337414506995283,5.35,10.661698723290776,107.0,213.23397446581552,5.311698723290776,27.0,0.0009,11.76513,0.3083333333333333
11,20.0,6.0,15.0,40000.0,5.0,11.950083436594287,0.5,0.2616042379679553,5.35,11.373960798693291,107.0,227.47921597386585,6.02396079869329,11.0,0.0003666666666666,11.57315,0.05
12,20.0,6.0,15.0,40000.0,5.0,14.390888009296042,0.75,0.3119238566464992,5.35,13.039654655155172,107.0,260.79309310310344,7.689654655155172,11.0,0.0003666666666666,11.6208,0.0083333333333333
13,20.0,2.0,15.0,40000.0,5.0,9.241487685040395,0.25,0.1542963400145389,5.35,9.229919330644355,107.0,184.5983866128871,3.8799193306443542,384.0,0.0128,5.54097,0.225
14,20.0,6.0,15.0,40000.0,5.0,10.48434482287486,0.25,0.1337414506995283,5.35,10.661698723290776,107.0,213.23397446581552,5.311698723290776,27.0,0.0009,11.49269,0.3083333333333333
15,20.0,12.0,15.0,40000.0,5.0,7.603682649146008,0.25,0.1898494772283605,5.35,7.55,107.0,151.0,2.6,8.0,0.0002666666666666,20.3967,0.3125
16,20.0,20.0,15.0,40000.0,5.0,11.38609508872988,0.25,0.1190568137026968,5.35,10.82656255208507,107.0,216.5312510417014,5.4765625520850705,10.0,0.0003333333333333,32.15011,0.275
