lambda,p,avg_N,total_N,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9,N_10,N_11,N_12,N_13,N_14,N_15,N_16,N_17,N_18,N_19,N_20
5.066498551222738,0.09429599064801075,6.75,135,11,7,3,5,4,7,4,6,5,8,10,8,8,6,9,7,10,7,6,4
4.5875586394913554,0.07797084079583205,3.8,76,3,5,5,4,2,5,3,1,2,3,6,6,4,3,3,5,5,5,4,2
3.3359155735778314,0.09505291504319624,3.8,76,2,7,3,2,5,7,2,3,4,2,4,1,3,5,4,5,4,4,2,7
4.308061764104007,0.07176596864055729,5.05,101,6,4,6,6,4,6,6,5,4,9,3,8,7,5,5,5,4,3,4,1
4.2358638208822095,0.11195124103581244,3.95,79,4,7,2,3,4,7,3,8,6,3,2,2,4,2,4,5,5,5,2,1
3.2632115607783887,0.11914145717841762,3.45,69,4,3,1,6,2,6,3,3,4,4,3,3,2,3,3,2,4,4,6,3
4.694486173909006,0.11238093986713271,4.55,91,3,4,3,3,3,6,8,5,2,5,2,5,5,4,5,4,2,9,6,7
5.687862590064222,0.06545125154466092,5.55,111,8,6,5,6,1,9,5,5,7,5,4,2,7,4,7,7,4,9,3,7
4.93424932208304,0.08510013063368493,4.4,88,2,2,8,7,4,8,5,2,2,8,4,2,3,5,5,2,3,6,5,5
3.2991358383451916,0.1685905928490986,2.5,50,2,3,1,1,1,5,5,3,3,2,1,4,2,4,2,3,2,2,3,1
3.8584496228607783,0.1318541607400897,3.65,73,2,2,7,4,4,5,3,4,3,4,4,2,6,2,4,3,4,4,3,3
3.4999745335219,0.10873900606665787,3.65,73,3,5,2,7,2,6,4,3,4,5,1,4,2,3,4,3,7,3,2,3
5.9131125338202475,0.09101205415818625,6.65,133,9,9,12,6,7,6,6,3,6,4,6,7,9,7,10,6,3,5,7,5
4.597656061734621,0.08793483270565716,4.0,80,7,2,7,9,3,6,2,2,1,2,5,4,3,5,2,2,2,6,5,5
4.570215453314677,0.08838027563099704,4.9,98,5,6,4,2,9,6,6,8,6,3,4,4,2,5,10,1,3,7,3,4
5.984166173588561,0.0735042466899869,6.05,121,10,9,4,5,10,4,6,5,3,9,5,5,4,6,9,5,5,8,4,5
3.88749487502221,0.09366893796575548,3.4,68,5,4,3,4,3,5,3,2,3,2,2,1,5,3,7,1,4,5,3,3
3.0763576896354605,0.1725794291804008,2.6,52,2,4,3,2,2,6,2,3,1,4,2,2,3,1,2,1,6,2,2,2
5.902395661061922,0.07053940256946933,7.0,140,6,9,7,7,9,6,11,4,7,8,10,6,2,8,6,8,5,12,5,4
5.655766079041049,0.07210108166893403,6.2,124,6,10,6,5,6,7,6,7,2,8,5,10,4,4,11,5,8,7,4,3
2.8530834606811992,0.28492022320106136,2.05,41,1,2,1,2,4,4,3,2,1,5,2,0,1,1,3,2,3,2,2,0
5.115506250858395,0.07550875928840495,6.55,131,6,5,10,8,1,6,6,7,10,6,5,8,6,5,9,7,5,9,7,5
5.063224105688227,0.07260415895911065,5.95,119,7,4,7,3,5,10,8,9,6,3,3,6,5,8,6,5,4,11,2,7
5.111466374549385,0.08445102150824757,5.0,100,4,6,4,7,1,6,8,3,8,4,8,4,3,5,9,4,4,5,3,4
3.6904778832720306,0.0796872486434439,3.7,74,1,2,3,4,3,9,7,5,2,4,3,4,2,5,4,5,3,3,5,0
5.814389986268445,0.09386141038053086,6.25,125,6,4,6,8,6,7,6,7,6,3,9,7,4,7,9,5,11,9,4,1
5.7938401299589,0.08915795264658433,5.95,119,3,4,6,5,4,11,4,5,5,3,8,5,1,11,6,8,8,11,4,7
4.3386326583668025,0.12480426788060184,3.95,79,4,2,3,4,5,5,5,5,3,8,2,5,5,4,7,2,3,3,1,3
4.648213942748962,0.10621562946901209,4.85,97,1,3,5,7,4,7,4,4,9,5,4,3,6,3,9,5,1,11,2,4
5.842432231701938,0.1013961907413038,5.55,111,7,3,6,7,6,9,4,4,6,5,7,5,7,7,8,2,2,8,5,3
4.201190418119253,0.1204423523571796,3.8,76,5,6,5,4,3,4,2,5,2,5,4,6,2,3,3,3,5,4,4,1
3.3534353020054164,0.1654374906048809,3.3,66,4,3,2,2,4,4,2,4,2,3,2,5,5,2,7,5,2,3,5,0
4.382533451276154,0.1270300537784863,5.0,100,3,4,7,7,2,10,1,7,1,7,8,9,3,2,6,5,6,5,4,3
4.218358343575774,0.11674963601473975,4.25,85,4,5,2,5,7,8,3,1,6,4,4,4,6,6,8,3,1,4,3,1
4.752433334407411,0.11707673143762243,4.5,90,6,5,2,4,3,7,6,5,3,4,4,5,9,4,7,2,4,5,3,2
3.3829124588704835,0.16055440945015176,3.05,61,6,3,3,3,3,3,3,2,3,3,3,5,5,3,3,2,2,3,2,1
5.452432162984207,0.10974320636284618,4.8,96,6,9,9,5,4,7,4,5,4,8,3,2,4,5,6,2,2,3,2,6
3.1509791654187698,0.1275442496933954,2.75,55,3,2,3,4,4,3,4,4,4,2,1,1,2,1,5,2,3,3,3,1
5.710963247369571,0.08558862162807868,6.55,131,6,8,6,8,5,9,7,7,8,10,7,5,7,4,7,3,7,6,5,6
4.734321658782924,0.12027712348714903,4.55,91,3,5,4,8,3,8,5,2,3,3,3,3,6,6,9,3,8,3,4,2
4.655442337825346,0.09023331204146201,3.9,78,3,7,4,3,4,6,4,1,2,5,3,5,5,3,4,3,4,5,4,3
2.6788045558693816,0.20902765254527367,2.45,49,3,3,4,1,3,3,2,1,1,2,2,3,4,5,4,1,2,3,1,1
4.839929866029736,0.10206420757996992,5.95,119,4,8,4,9,8,6,6,2,6,7,5,7,13,5,6,2,3,7,7,4
4.729989523667881,0.09999042322131313,4.3,86,4,5,5,2,2,4,6,4,2,7,9,6,3,5,5,1,2,3,6,5
5.033343055255982,0.14352613801410175,4.55,91,8,3,4,5,3,10,5,3,3,3,3,2,2,11,4,7,4,3,6,2
2.43246077743506,0.1453085549861446,2.6,52,2,3,2,6,2,4,4,1,2,2,1,3,3,6,2,1,2,3,2,1
4.773767587865606,0.05855680365064042,5.25,105,4,10,8,7,1,7,4,5,4,4,3,8,2,2,8,8,3,6,7,4
4.4816208568813165,0.07876672309613153,4.5,90,2,5,6,3,1,7,6,3,5,2,3,4,2,8,7,4,7,6,5,4
3.158626299843431,0.1991751368404524,2.7,54,4,2,1,4,1,4,5,2,2,2,2,1,2,2,3,4,3,3,6,1
5.715775976156062,0.07191742947316915,6.25,125,10,5,7,7,5,6,4,7,3,8,3,7,10,7,4,7,10,7,2,6
5.84107829743696,0.09159334927634766,5.65,113,8,5,3,9,6,6,8,4,1,6,7,7,4,4,7,5,4,11,2,6
4.61966468714223,0.15787967392172475,3.6,72,4,4,4,3,2,6,2,3,2,2,3,3,6,7,2,2,6,6,2,3
3.038235407452497,0.11564634159319465,2.65,53,6,2,3,3,4,4,2,5,0,2,1,1,3,2,4,2,2,2,4,1
5.6291172149440305,0.0823442204725292,6.3,126,6,8,7,9,10,6,8,4,7,6,6,5,5,2,4,4,7,9,9,4
5.343857434035466,0.1327566749799598,4.9,98,5,3,5,9,3,7,3,3,4,8,9,5,6,2,10,2,5,3,5,1
3.384016098142247,0.16935211602539746,3.1,62,4,4,4,2,2,5,2,2,4,3,4,0,2,4,3,4,7,4,2,0
3.453615291103789,0.11248257910610626,3.45,69,4,5,5,2,3,5,6,5,1,9,1,3,3,4,2,2,2,3,2,2
5.428936228935164,0.0672691115182078,6.05,121,5,7,9,6,5,6,4,6,10,5,3,2,3,5,11,8,6,6,7,7
5.823954309221862,0.08194092962336053,6.15,123,7,3,5,6,8,7,6,7,8,4,5,4,7,5,9,2,7,12,6,5
4.495622868040219,0.09760181128639034,3.7,74,4,3,2,5,3,6,3,6,2,6,4,2,5,3,4,2,3,2,7,2
4.0472548907286665,0.15132697900798942,3.95,79,3,6,5,3,4,7,3,3,3,3,7,3,3,5,3,3,2,5,6,2
3.7225514552050116,0.11858714020304795,3.9,78,4,3,4,4,5,7,4,4,5,4,3,2,5,2,3,4,4,5,2,4
2.5229180909808795,0.22812779953600204,2.35,47,3,1,4,3,2,4,1,2,2,6,2,1,2,2,2,2,4,3,1,0
5.277004202878194,0.06978877347078616,6.0,120,8,7,10,2,2,8,8,4,5,5,10,7,7,7,6,6,5,5,2,6
5.8516751198878465,0.06967224668104322,6.25,125,8,7,4,6,8,7,8,4,6,10,6,5,4,9,8,4,2,8,5,6
5.762553245978704,0.07966614130523397,6.05,121,5,6,6,5,6,8,6,9,5,6,5,4,7,5,12,5,2,8,5,6
2.8938249592264107,0.2539869774072421,2.3,46,3,2,2,1,1,4,4,3,1,3,2,0,2,2,3,2,2,2,4,3
5.129441566235065,0.12643028204945805,6.25,125,8,8,5,6,3,10,10,5,3,6,7,4,4,5,9,10,5,9,3,5
5.909216875829602,0.08333185774184093,5.45,109,5,5,3,3,8,10,5,6,3,5,5,2,4,7,5,8,7,7,4,7
4.2122237263602855,0.11294260293704483,4.25,85,1,5,3,4,3,7,3,3,4,4,4,5,2,3,8,5,5,7,8,1
5.845919140670081,0.06633483417285424,6.25,125,8,3,8,7,9,6,8,3,5,6,5,7,6,7,7,6,10,6,5,3
3.373568312138801,0.12394293306179027,3.05,61,4,4,2,2,3,4,1,3,3,5,2,4,1,3,6,2,3,4,3,2
4.639511395769173,0.0753837578395159,5.15,103,5,6,7,8,4,8,5,4,7,5,3,4,4,6,5,3,6,5,4,4
