,Sites,visits,bound on lambda,Epochs,true_lam,est_lam,true_p,est_p,true_avg_N,est_avg_N,true_total_N,est_total_N,N_mae,num_accepted,acceptance_rate,total_time,prop_sparsity
0,5,6,15,40000,5,5.602312757,0.25,0.326001607,6,5.289022967,30,26.44511484,1.1470049,116,0.003866667,10.0205,0.133333333
1,10,6,15,40000,5,6.762688683,0.25,0.214455681,5.9,6.559015301,59,65.59015301,1.524044135,14,0.000466667,10.09982,0.283333333
2,20,6,15,40000,5,7.744516483,0.25,0.203002841,5.35,7.720827361,107,154.4165472,2.528135938,12,0.0004,10.30136,0.308333333
3,40,6,15,40000,5,7.410983826,0.25,0.163462361,5.125,7.750043335,205,310.0017334,2.895007334,16,0.000533333,10.67812,0.295833333
4,100,6,15,40000,5,7.835678876,0.25,0.147084649,5.08,8.246440881,508,824.6440881,3.552091736,17,0.000566667,11.9512,0.293333333
5,20,6,6,40000,2,2.242982634,0.25,0.198222262,2,1.95,40,39,0.95,15,0.0005,10.38001,0.641666667
6,20,6,15,40000,5,7.744516483,0.25,0.203002841,5.35,7.720827361,107,154.4165472,2.528135938,12,0.0004,10.21975,0.308333333
7,20,6,45,40000,15,25.67441011,0.25,0.135679163,14.9,25.4641438,298,509.2828761,10.5641438,17,0.000566667,10.35007,0.025
8,20,6,90,40000,30,54.95898353,0.25,0.121573018,30,55.75360012,600,1115.072002,26.02719924,15,0.0005,10.18903,0
9,20,6,15,40000,5,5.441795151,0.1,0.086133143,5.35,6.341756392,107,126.8351278,2.372075736,5,0.000166667,10.13257,0.566666667
10,20,6,15,40000,5,7.744516483,0.25,0.203002841,5.35,7.720827361,107,154.4165472,2.528135938,12,0.0004,10.29135,0.308333333
11,20,6,15,40000,5,7.043377685,0.5,0.306859841,5.35,8.085149505,107,161.7029901,2.735149505,17,0.000566667,10.29302,0.05
12,20,6,15,40000,5,8.205714242,0.75,0.455959998,5.35,9.337306244,107,186.7461249,3.987306244,14,0.000466667,10.63395,0.008333333
13,20,2,15,40000,5,8.264316754,0.25,0.144421547,5.35,8.010358679,107,160.2071736,3.26571219,23,0.000766667,4.52701,0.225
14,20,6,15,40000,5,7.744516483,0.25,0.203002841,5.35,7.720827361,107,154.4165472,2.528135938,12,0.0004,10.3528,0.308333333
15,20,12,15,40000,5,10.83881757,0.25,0.146135458,5.35,8.838226274,107,176.7645255,3.701406714,7,0.000233333,18.80634,0.3125
16,20,20,15,40000,5,9.118161624,0.25,0.153939484,5.35,8.459755325,107,169.1951065,3.109755325,13,0.000433333,30.83583,0.275
