,Sites,visits,bound on lambda,Epochs,true_lam,est_lam,true_p,est_p,true_avg_N,est_avg_N,true_total_N,est_total_N,N_mae,num_accepted,acceptance_rate,total_time,prop_sparsity
0,20.0,2.0,15.0,10000.0,5.0,2.216168671701552,0.25,0.5643175184060446,5.35,2.1499399919989335,107.0,42.99879983997867,3.200060008001067,7499.0,0.9998666666666668,37.63859,0.225
1,20.0,6.0,15.0,10000.0,5.0,3.941823012108692,0.25,0.3896882465639962,5.35,3.8900520069342575,107.0,77.80104013868515,1.5039671956260834,7499.0,0.9998666666666668,94.34687,0.3083333333333333
2,20.0,12.0,15.0,10000.0,5.0,3.5548496998176664,0.25,0.37509430341693,5.35,3.505267368982531,107.0,70.10534737965062,1.8477063608481132,7499.0,0.9998666666666668,229.75445,0.3125
3,20.0,20.0,15.0,10000.0,5.0,4.447462811700932,0.25,0.3064461143416043,5.35,4.389611948259768,107.0,87.79223896519537,1.0067942392318976,7499.0,0.9998666666666668,523.64144,0.275
4,20.0,6.0,15.0,10000.0,5.0,2.1163597665859943,0.1,0.2839133586167145,5.35,2.0588878517135623,107.0,41.177757034271245,3.2911121482864383,7499.0,0.9998666666666668,89.29093,0.5666666666666667
5,20.0,6.0,15.0,10000.0,5.0,3.941823012108692,0.25,0.3896882465639962,5.35,3.8900520069342575,107.0,77.80104013868515,1.5039671956260834,7499.0,0.9998666666666668,96.8308,0.3083333333333333
6,20.0,6.0,15.0,10000.0,5.0,4.644849669224874,0.5,0.5945995732155448,5.35,4.58604480597413,107.0,91.7208961194826,0.8314041872249633,7499.0,0.9998666666666668,106.53176,0.05
7,20.0,6.0,15.0,10000.0,5.0,5.407476970080434,0.75,0.738632615303535,5.35,5.351573543139084,107.0,107.03147086278167,0.1238165088678489,7499.0,0.9998666666666668,110.25929,0.0083333333333333
8,20.0,6.0,6.0,10000.0,2.0,3.416261094663966,0.25,0.1711315616078738,2.0,3.354767302306974,40.0,67.09534604613948,1.3855580744099212,7499.0,0.9998666666666668,110.49427,0.6416666666666667
9,20.0,6.0,15.0,10000.0,5.0,3.941823012108692,0.25,0.3896882465639962,5.35,3.8900520069342575,107.0,77.80104013868515,1.5039671956260834,7499.0,0.9998666666666668,94.59127,0.3083333333333333
10,20.0,6.0,45.0,10000.0,15.0,7.0389465739585715,0.25,0.546536137557664,14.9,7.005874116548872,298.0,140.11748233097745,7.894125883451126,7499.0,0.9998666666666668,130.02914,0.025
11,20.0,6.0,90.0,10000.0,30.0,28.027808712849,0.25,0.2748838154624253,30.0,28.011501533537803,600.0,560.230030670756,2.333184424589945,7499.0,0.9998666666666668,139.358,0.0
12,5.0,6.0,15.0,10000.0,5.0,2.64568287076793,0.25,0.6055611025038752,6.0,2.389838645152687,30.0,11.949193225763434,3.610161354847313,7499.0,0.9998666666666668,26.48711,0.1333333333333333
13,10.0,6.0,15.0,10000.0,5.0,3.066082519722158,0.25,0.4283550427072047,5.9,2.949406587545006,59.0,29.49406587545006,2.9505934124549937,7499.0,0.9998666666666668,49.06109,0.2833333333333333
14,20.0,6.0,15.0,10000.0,5.0,3.941823012108692,0.25,0.3896882465639962,5.35,3.8900520069342575,107.0,77.80104013868515,1.5039671956260834,7499.0,0.9998666666666668,95.76789,0.3083333333333333
15,40.0,6.0,15.0,10000.0,5.0,2.9732307895169243,0.25,0.4283760000198874,5.125,2.9426523536471527,205.0,117.70609414588613,2.199489931990932,7499.0,0.9998666666666668,229.02426,0.2958333333333333
16,100.0,6.0,15.0,10000.0,5.0,3.0457513798793374,0.25,0.4140216355081316,5.08,3.036127483664489,508.0,303.6127483664489,2.0637098279770636,7499.0,0.9998666666666668,672.3725,0.2933333333333333
