lambda,p,avg_N,total_N,total_time,prop_sparsity,N_1,N_2,N_3,N_4,N_5
8.114951131893804,0.20722805573807507,7.0,35.0,6.15951,0.13333333333333333,7.0,9.0,7.0,7.0,5.0
8.114951131893804,0.20722805573807507,7.0,35.0,6.15951,0.13333333333333333,7.0,9.0,7.0,7.0,5.0
8.114951131893804,0.20722805573807507,7.0,35.0,6.15951,0.13333333333333333,7.0,9.0,7.0,7.0,5.0
8.114951131893804,0.20722805573807507,7.0,35.0,6.15951,0.13333333333333333,7.0,9.0,7.0,7.0,5.0
8.114951131893804,0.20722805573807507,7.0,35.0,6.15951,0.13333333333333333,7.0,9.0,7.0,7.0,5.0
8.114951131893804,0.20722805573807507,7.0,35.0,6.15951,0.13333333333333333,7.0,9.0,7.0,7.0,5.0
8.114951131893804,0.20722805573807507,7.0,35.0,6.15951,0.13333333333333333,7.0,9.0,7.0,7.0,5.0
8.114951131893804,0.20722805573807507,7.0,35.0,6.15951,0.13333333333333333,7.0,9.0,7.0,7.0,5.0
8.114951131893804,0.20722805573807507,7.0,35.0,6.15951,0.13333333333333333,7.0,9.0,7.0,7.0,5.0
8.114951131893804,0.20722805573807507,7.0,35.0,6.15951,0.13333333333333333,7.0,9.0,7.0,7.0,5.0
8.114951131893804,0.20722805573807507,7.0,35.0,6.15951,0.13333333333333333,7.0,9.0,7.0,7.0,5.0
8.114951131893804,0.20722805573807507,7.0,35.0,6.15951,0.13333333333333333,7.0,9.0,7.0,7.0,5.0
8.114951131893804,0.20722805573807507,7.0,35.0,6.15951,0.13333333333333333,7.0,9.0,7.0,7.0,5.0
8.114951131893804,0.20722805573807507,7.0,35.0,6.15951,0.13333333333333333,7.0,9.0,7.0,7.0,5.0
8.114951131893804,0.20722805573807507,7.0,35.0,6.15951,0.13333333333333333,7.0,9.0,7.0,7.0,5.0
8.114951131893804,0.20722805573807507,7.0,35.0,6.15951,0.13333333333333333,7.0,9.0,7.0,7.0,5.0
8.114951131893804,0.20722805573807507,7.0,35.0,6.15951,0.13333333333333333,7.0,9.0,7.0,7.0,5.0
8.114951131893804,0.20722805573807507,7.0,35.0,6.15951,0.13333333333333333,7.0,9.0,7.0,7.0,5.0
8.114951131893804,0.20722805573807507,7.0,35.0,6.15951,0.13333333333333333,7.0,9.0,7.0,7.0,5.0
8.114951131893804,0.20722805573807507,7.0,35.0,6.15951,0.13333333333333333,7.0,9.0,7.0,7.0,5.0
8.114951131893804,0.20722805573807507,7.0,35.0,6.15951,0.13333333333333333,7.0,9.0,7.0,7.0,5.0
8.114951131893804,0.20722805573807507,7.0,35.0,6.15951,0.13333333333333333,7.0,9.0,7.0,7.0,5.0
8.114951131893804,0.20722805573807507,7.0,35.0,6.15951,0.13333333333333333,7.0,9.0,7.0,7.0,5.0
8.114951131893804,0.20722805573807507,7.0,35.0,6.15951,0.13333333333333333,7.0,9.0,7.0,7.0,5.0
8.114951131893804,0.20722805573807507,7.0,35.0,6.15951,0.13333333333333333,7.0,9.0,7.0,7.0,5.0
8.114951131893804,0.20722805573807507,7.0,35.0,6.15951,0.13333333333333333,7.0,9.0,7.0,7.0,5.0
8.114951131893804,0.20722805573807507,7.0,35.0,6.15951,0.13333333333333333,7.0,9.0,7.0,7.0,5.0
8.114951131893804,0.20722805573807507,7.0,35.0,6.15951,0.13333333333333333,7.0,9.0,7.0,7.0,5.0
