lambda,p,avg_N,total_N,total_time,prop_sparsity,N_1,N_2,N_3,N_4,N_5
2.9718029935794887,0.6562387569926004,2.4,12.0,26.48711,0.13333333333333333,2.0,3.0,3.0,1.0,3.0
1.6991657325398293,0.4965901500331216,3.0,15.0,26.48711,0.13333333333333333,3.0,6.0,3.0,1.0,2.0
1.8416303021076896,0.575853715380126,2.6,13.0,26.48711,0.13333333333333333,3.0,4.0,3.0,1.0,2.0
2.0626929315726903,0.6105009007072676,2.4,12.0,26.48711,0.13333333333333333,2.0,4.0,3.0,1.0,2.0
2.668640855622032,0.6149837240869777,2.2,11.0,26.48711,0.13333333333333333,2.0,3.0,3.0,1.0,2.0
4.000501666819754,0.6794595136994352,2.2,11.0,26.48711,0.13333333333333333,2.0,3.0,3.0,1.0,2.0
3.3748697140782133,0.6551119082477691,2.2,11.0,26.48711,0.13333333333333333,2.0,3.0,3.0,1.0,2.0
1.9094111496508042,0.698006556818648,2.2,11.0,26.48711,0.13333333333333333,2.0,3.0,3.0,1.0,2.0
2.3974360413332456,0.6163349713433653,2.2,11.0,26.48711,0.13333333333333333,2.0,3.0,3.0,1.0,2.0
1.9026800316852153,0.6325811382862664,2.4,12.0,26.48711,0.13333333333333333,2.0,3.0,4.0,1.0,2.0
2.961966783960478,0.6325811382862664,2.2,11.0,26.48711,0.13333333333333333,2.0,3.0,3.0,1.0,2.0
2.123928999495227,0.6731727202308695,2.2,11.0,26.48711,0.13333333333333333,2.0,3.0,3.0,1.0,2.0
1.724544214246063,0.694533960515709,2.2,11.0,26.48711,0.13333333333333333,2.0,3.0,3.0,1.0,2.0
2.206585401396981,0.7140479440018204,2.2,11.0,26.48711,0.13333333333333333,2.0,3.0,3.0,1.0,2.0
3.09431749679876,0.7269305786397338,2.2,11.0,26.48711,0.13333333333333333,2.0,3.0,3.0,1.0,2.0
1.8866868351568158,0.6003982190840332,2.2,11.0,26.48711,0.13333333333333333,2.0,3.0,3.0,1.0,2.0
3.0561529221364077,0.5416604098204619,2.2,11.0,26.48711,0.13333333333333333,2.0,3.0,3.0,1.0,2.0
2.181682738397413,0.6312750067020443,2.2,11.0,26.48711,0.13333333333333333,2.0,3.0,3.0,1.0,2.0
2.4462437143234905,0.6246665068563118,2.2,11.0,26.48711,0.13333333333333333,2.0,3.0,3.0,1.0,2.0
2.9986449633441095,0.6586776446580107,2.2,11.0,26.48711,0.13333333333333333,2.0,3.0,3.0,1.0,2.0
2.0691056865873434,0.6877743212967342,2.2,11.0,26.48711,0.13333333333333333,2.0,3.0,3.0,1.0,2.0
2.0863710529623045,0.6173783380733856,2.4,12.0,26.48711,0.13333333333333333,2.0,3.0,3.0,1.0,3.0
1.9744300023257526,0.6098051693903898,2.4,12.0,26.48711,0.13333333333333333,2.0,4.0,3.0,1.0,2.0
3.6894181883663983,0.6355547337859785,2.4,12.0,26.48711,0.13333333333333333,3.0,3.0,3.0,1.0,2.0
3.3987179767372906,0.577685613858049,2.6,13.0,26.48711,0.13333333333333333,3.0,4.0,3.0,1.0,2.0
2.51087280437521,0.495736940839845,2.4,12.0,26.48711,0.13333333333333333,3.0,3.0,3.0,1.0,2.0
2.1979741614440846,0.6448304604057168,2.4,12.0,26.48711,0.13333333333333333,2.0,3.0,3.0,1.0,3.0
2.6867141356994413,0.6580544540069995,2.4,12.0,26.48711,0.13333333333333333,2.0,3.0,3.0,1.0,3.0
2.3806880497314173,0.5467754780654703,2.6,13.0,26.48711,0.13333333333333333,3.0,4.0,3.0,1.0,2.0
3.6424367319872015,0.5157387365090781,2.6,13.0,26.48711,0.13333333333333333,3.0,4.0,3.0,1.0,2.0
3.596924650535291,0.5375910103617266,2.4,12.0,26.48711,0.13333333333333333,2.0,4.0,3.0,1.0,2.0
2.693487106535703,0.5505590610528657,2.2,11.0,26.48711,0.13333333333333333,2.0,3.0,3.0,1.0,2.0
2.8481109797175197,0.6624264023012808,2.2,11.0,26.48711,0.13333333333333333,2.0,3.0,3.0,1.0,2.0
2.179326777021587,0.5925664762588911,2.2,11.0,26.48711,0.13333333333333333,2.0,3.0,3.0,1.0,2.0
1.652760308926083,0.5565528495239122,2.2,11.0,26.48711,0.13333333333333333,2.0,3.0,3.0,1.0,2.0
