lambda,p,avg_N,total_N,total_time,prop_sparsity,N_1,N_2,N_3,N_4,N_5
3.985271403948637,0.41284485773190516,3.4,17.0,25.5103,0.13333333333333333,3.0,7.0,3.0,1.0,3.0
3.985271403948637,0.41284485773190516,3.4,17.0,25.5103,0.13333333333333333,3.0,7.0,3.0,1.0,3.0
3.985271403948637,0.41284485773190516,3.4,17.0,25.5103,0.13333333333333333,3.0,7.0,3.0,1.0,3.0
3.985271403948637,0.41284485773190516,3.4,17.0,25.5103,0.13333333333333333,3.0,7.0,3.0,1.0,3.0
4.083456195799281,0.4151655517335892,3.6,18.0,25.5103,0.13333333333333333,3.0,5.0,5.0,2.0,3.0
4.083456195799281,0.4151655517335892,3.6,18.0,25.5103,0.13333333333333333,3.0,5.0,5.0,2.0,3.0
4.083456195799281,0.4151655517335892,3.6,18.0,25.5103,0.13333333333333333,3.0,5.0,5.0,2.0,3.0
4.083456195799281,0.4151655517335892,3.6,18.0,25.5103,0.13333333333333333,3.0,5.0,5.0,2.0,3.0
4.083456195799281,0.4151655517335892,3.6,18.0,25.5103,0.13333333333333333,3.0,5.0,5.0,2.0,3.0
4.083456195799281,0.4151655517335892,3.6,18.0,25.5103,0.13333333333333333,3.0,5.0,5.0,2.0,3.0
4.083456195799281,0.4151655517335892,3.6,18.0,25.5103,0.13333333333333333,3.0,5.0,5.0,2.0,3.0
4.083456195799281,0.4151655517335892,3.6,18.0,25.5103,0.13333333333333333,3.0,5.0,5.0,2.0,3.0
4.083456195799281,0.4151655517335892,3.6,18.0,25.5103,0.13333333333333333,3.0,5.0,5.0,2.0,3.0
4.083456195799281,0.4151655517335892,3.6,18.0,25.5103,0.13333333333333333,3.0,5.0,5.0,2.0,3.0
4.083456195799281,0.4151655517335892,3.6,18.0,25.5103,0.13333333333333333,3.0,5.0,5.0,2.0,3.0
4.083456195799281,0.4151655517335892,3.6,18.0,25.5103,0.13333333333333333,3.0,5.0,5.0,2.0,3.0
4.083456195799281,0.4151655517335892,3.6,18.0,25.5103,0.13333333333333333,3.0,5.0,5.0,2.0,3.0
4.083456195799281,0.4151655517335892,3.6,18.0,25.5103,0.13333333333333333,3.0,5.0,5.0,2.0,3.0
4.083456195799281,0.4151655517335892,3.6,18.0,25.5103,0.13333333333333333,3.0,5.0,5.0,2.0,3.0
4.083456195799281,0.4151655517335892,3.6,18.0,25.5103,0.13333333333333333,3.0,5.0,5.0,2.0,3.0
4.083456195799281,0.4151655517335892,3.6,18.0,25.5103,0.13333333333333333,3.0,5.0,5.0,2.0,3.0
4.083456195799281,0.4151655517335892,3.6,18.0,25.5103,0.13333333333333333,3.0,5.0,5.0,2.0,3.0
4.083456195799281,0.4151655517335892,3.6,18.0,25.5103,0.13333333333333333,3.0,5.0,5.0,2.0,3.0
4.083456195799281,0.4151655517335892,3.6,18.0,25.5103,0.13333333333333333,3.0,5.0,5.0,2.0,3.0
4.083456195799281,0.4151655517335892,3.6,18.0,25.5103,0.13333333333333333,3.0,5.0,5.0,2.0,3.0
4.500870489919802,0.2856459059947773,5.0,25.0,25.5103,0.13333333333333333,5.0,7.0,7.0,2.0,4.0
4.500870489919802,0.2856459059947773,5.0,25.0,25.5103,0.13333333333333333,5.0,7.0,7.0,2.0,4.0
4.500870489919802,0.2856459059947773,5.0,25.0,25.5103,0.13333333333333333,5.0,7.0,7.0,2.0,4.0
4.500870489919802,0.2856459059947773,5.0,25.0,25.5103,0.13333333333333333,5.0,7.0,7.0,2.0,4.0
