lambda,p,avg_N,total_N,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9,N_10,N_11,N_12,N_13,N_14,N_15,N_16,N_17,N_18,N_19,N_20
2.9249601892903536,0.15841453748901255,3.1,62.0,2.0,4.0,5.0,3.0,2.0,7.0,3.0,2.0,2.0,5.0,2.0,1.0,5.0,1.0,6.0,2.0,3.0,4.0,2.0,1.0
4.052972736580873,0.10388916310210987,3.35,67.0,2.0,4.0,6.0,4.0,1.0,6.0,6.0,1.0,1.0,4.0,2.0,1.0,6.0,4.0,5.0,4.0,3.0,4.0,2.0,1.0
3.215274348080013,0.13706664199002364,3.15,63.0,3.0,5.0,4.0,2.0,2.0,6.0,2.0,1.0,4.0,6.0,1.0,1.0,2.0,4.0,7.0,4.0,2.0,3.0,3.0,1.0
3.793998214370737,0.16290945109235896,3.2,64.0,4.0,3.0,6.0,2.0,2.0,7.0,3.0,1.0,3.0,4.0,1.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,1.0
3.180846514847646,0.14934081046896971,3.2,64.0,5.0,6.0,4.0,3.0,2.0,9.0,2.0,1.0,2.0,4.0,4.0,1.0,1.0,5.0,2.0,4.0,3.0,3.0,2.0,1.0
3.991154360311444,0.19252415871229706,3.0,60.0,4.0,4.0,5.0,2.0,3.0,6.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,5.0,4.0,2.0,4.0,3.0,2.0,2.0
4.0246772952970185,0.1413864670451172,3.2,64.0,2.0,6.0,5.0,3.0,5.0,7.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,7.0,2.0,5.0,4.0,1.0,1.0
4.204492761831692,0.11236664064335576,3.8,76.0,6.0,5.0,4.0,3.0,4.0,10.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,9.0,6.0,2.0,5.0,4.0,1.0,1.0
3.838541592573495,0.10186171631894206,3.6,72.0,4.0,7.0,6.0,3.0,2.0,8.0,6.0,2.0,2.0,2.0,3.0,1.0,5.0,5.0,5.0,1.0,3.0,5.0,1.0,1.0
3.7785765675038725,0.12567753307090265,3.6,72.0,4.0,7.0,5.0,4.0,1.0,5.0,5.0,1.0,1.0,3.0,4.0,2.0,5.0,5.0,5.0,2.0,4.0,5.0,1.0,3.0
2.7407345650736605,0.09586151837815592,3.25,65.0,5.0,5.0,2.0,4.0,1.0,6.0,3.0,1.0,2.0,3.0,3.0,3.0,5.0,3.0,6.0,1.0,3.0,4.0,2.0,3.0
3.896313948218361,0.13021272650950397,3.7,74.0,5.0,6.0,1.0,5.0,1.0,8.0,6.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,6.0,1.0,4.0,4.0,5.0,3.0
3.2876933736733562,0.1535431445528867,3.85,77.0,4.0,6.0,3.0,2.0,2.0,10.0,6.0,1.0,4.0,6.0,3.0,1.0,5.0,5.0,5.0,2.0,3.0,5.0,3.0,1.0
4.481569879346949,0.11637501009981503,4.0,80.0,6.0,6.0,4.0,4.0,1.0,7.0,8.0,1.0,4.0,4.0,3.0,1.0,6.0,3.0,8.0,1.0,3.0,6.0,1.0,3.0
4.159115649678358,0.08862402267897362,4.6,92.0,5.0,9.0,6.0,3.0,3.0,9.0,7.0,2.0,5.0,6.0,5.0,2.0,4.0,3.0,5.0,1.0,3.0,7.0,5.0,2.0
4.724689342033856,0.11676650319315221,4.2,84.0,3.0,8.0,5.0,6.0,4.0,9.0,5.0,4.0,2.0,7.0,4.0,3.0,4.0,3.0,5.0,1.0,4.0,4.0,2.0,1.0
4.371467548251656,0.08825759094211155,4.9,98.0,4.0,6.0,7.0,8.0,5.0,7.0,4.0,5.0,5.0,6.0,4.0,4.0,5.0,4.0,7.0,2.0,5.0,6.0,3.0,1.0
4.639329692209424,0.11793616964563776,4.7,94.0,6.0,4.0,6.0,7.0,6.0,9.0,3.0,3.0,1.0,4.0,6.0,3.0,4.0,4.0,9.0,1.0,6.0,7.0,4.0,1.0
3.76873297300701,0.10681488408183024,3.7,74.0,5.0,6.0,3.0,7.0,4.0,5.0,6.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,5.0,2.0,3.0,8.0,2.0,2.0
3.6523755779417404,0.07818215881376687,4.1,82.0,3.0,5.0,4.0,6.0,4.0,5.0,8.0,1.0,1.0,7.0,5.0,1.0,3.0,6.0,5.0,3.0,3.0,6.0,4.0,2.0
3.3953410805001907,0.1018800003439998,4.4,88.0,5.0,2.0,4.0,6.0,7.0,8.0,7.0,2.0,2.0,5.0,6.0,1.0,5.0,4.0,6.0,2.0,4.0,4.0,4.0,4.0
3.044675109819955,0.09598464486325738,3.7,74.0,3.0,3.0,4.0,5.0,4.0,7.0,3.0,1.0,2.0,3.0,2.0,1.0,6.0,7.0,8.0,2.0,4.0,6.0,2.0,1.0
4.4501332138598855,0.12398100344184633,3.45,69.0,4.0,3.0,3.0,4.0,2.0,8.0,2.0,1.0,3.0,6.0,2.0,3.0,6.0,5.0,5.0,1.0,3.0,4.0,3.0,1.0
3.1932321993823543,0.13349355862501058,3.3,66.0,3.0,3.0,4.0,4.0,2.0,9.0,3.0,1.0,4.0,3.0,2.0,2.0,5.0,3.0,6.0,2.0,3.0,3.0,3.0,1.0
2.4001450236703654,0.13980212637357178,3.05,61.0,4.0,4.0,3.0,5.0,2.0,6.0,4.0,1.0,4.0,3.0,1.0,2.0,4.0,3.0,4.0,3.0,2.0,3.0,2.0,1.0
3.1376696552078736,0.13016752965244754,2.7,54.0,4.0,5.0,3.0,3.0,1.0,5.0,3.0,1.0,1.0,2.0,3.0,1.0,5.0,3.0,3.0,2.0,2.0,5.0,1.0,1.0
2.604537968894973,0.13754840240776472,2.5,50.0,3.0,3.0,3.0,2.0,1.0,5.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,8.0,1.0,1.0
2.826020140045692,0.15779146332663016,3.15,63.0,2.0,3.0,2.0,2.0,1.0,9.0,5.0,1.0,2.0,6.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,9.0,2.0,1.0
2.689797404350093,0.10917903436266405,2.9,58.0,3.0,3.0,3.0,3.0,2.0,6.0,3.0,2.0,3.0,4.0,1.0,2.0,3.0,2.0,4.0,1.0,1.0,9.0,2.0,1.0
2.512064419951472,0.1470885562386698,2.7,54.0,4.0,4.0,2.0,3.0,1.0,5.0,3.0,2.0,2.0,5.0,1.0,2.0,1.0,2.0,6.0,2.0,1.0,5.0,1.0,2.0
2.4199595799778417,0.18158534518155753,2.8,56.0,4.0,3.0,4.0,4.0,1.0,6.0,3.0,1.0,1.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,1.0,5.0,3.0,1.0
3.3800994534971722,0.13191829546542405,3.45,69.0,2.0,5.0,2.0,5.0,2.0,5.0,4.0,4.0,1.0,3.0,5.0,3.0,2.0,4.0,5.0,3.0,2.0,6.0,3.0,3.0
3.9502290113201335,0.12396541560191959,3.05,61.0,1.0,5.0,3.0,4.0,2.0,5.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,5.0,3.0,2.0
3.990683954255244,0.09246757835179834,3.85,77.0,3.0,3.0,4.0,5.0,1.0,11.0,8.0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,7.0,2.0,2.0,3.0,3.0,5.0
3.9227443252791825,0.09586778097575006,4.25,85.0,3.0,4.0,6.0,7.0,3.0,13.0,9.0,4.0,1.0,4.0,4.0,4.0,2.0,2.0,8.0,1.0,2.0,3.0,3.0,2.0
4.581711047467723,0.08482508606423374,4.55,91.0,3.0,5.0,5.0,6.0,4.0,15.0,7.0,4.0,2.0,7.0,3.0,6.0,2.0,3.0,5.0,1.0,3.0,4.0,4.0,2.0
3.8105830183041123,0.0958869082232635,4.1,82.0,6.0,4.0,5.0,5.0,2.0,10.0,5.0,3.0,2.0,5.0,3.0,5.0,1.0,3.0,7.0,4.0,4.0,5.0,2.0,1.0
4.466613356171165,0.08089813007225857,4.45,89.0,7.0,3.0,4.0,6.0,2.0,10.0,5.0,4.0,1.0,6.0,5.0,5.0,4.0,3.0,6.0,3.0,3.0,8.0,2.0,2.0
3.684621690859383,0.10241449167228732,4.25,85.0,5.0,5.0,4.0,6.0,3.0,10.0,5.0,3.0,1.0,4.0,6.0,5.0,4.0,2.0,5.0,1.0,3.0,8.0,3.0,2.0
3.785867135849344,0.08114676568117572,4.2,84.0,4.0,3.0,5.0,4.0,3.0,12.0,5.0,2.0,3.0,6.0,3.0,5.0,5.0,2.0,5.0,1.0,4.0,6.0,3.0,3.0
5.14858679718977,0.07839704886690825,4.8,96.0,4.0,3.0,5.0,8.0,2.0,8.0,5.0,3.0,2.0,5.0,4.0,6.0,6.0,3.0,9.0,2.0,5.0,7.0,5.0,4.0
4.6947346297629595,0.09492570409609521,4.65,93.0,8.0,3.0,7.0,7.0,2.0,9.0,5.0,2.0,1.0,6.0,3.0,5.0,7.0,3.0,7.0,2.0,3.0,6.0,5.0,2.0
4.003366946138554,0.08489887958245729,4.1,82.0,8.0,2.0,4.0,5.0,1.0,9.0,5.0,3.0,1.0,4.0,3.0,4.0,4.0,2.0,7.0,4.0,4.0,5.0,4.0,3.0
4.235880518447754,0.15469075522522366,4.0,80.0,6.0,2.0,5.0,6.0,1.0,8.0,3.0,5.0,2.0,5.0,3.0,3.0,4.0,5.0,5.0,2.0,4.0,5.0,4.0,2.0
4.035145606326554,0.07733738488019222,4.6,92.0,5.0,4.0,5.0,4.0,2.0,13.0,5.0,7.0,4.0,7.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,7.0,5.0,4.0
4.3050938355127375,0.09295564865802039,4.2,84.0,2.0,6.0,3.0,4.0,3.0,12.0,5.0,8.0,2.0,4.0,3.0,1.0,3.0,3.0,4.0,2.0,2.0,8.0,5.0,4.0
3.400463368304518,0.1061384901586782,3.75,75.0,3.0,5.0,3.0,6.0,5.0,8.0,4.0,2.0,2.0,4.0,4.0,1.0,3.0,5.0,3.0,3.0,2.0,7.0,4.0,1.0
3.939300011649937,0.10974818614203694,3.85,77.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,8.0,6.0,3.0,4.0,6.0,5.0,1.0
4.092916353814458,0.10692453530827618,4.4,88.0,3.0,6.0,6.0,7.0,3.0,6.0,6.0,2.0,1.0,6.0,4.0,1.0,3.0,4.0,11.0,2.0,6.0,6.0,3.0,2.0
4.471584830827944,0.10865841661586756,4.75,95.0,6.0,8.0,4.0,8.0,4.0,5.0,5.0,3.0,1.0,8.0,4.0,3.0,3.0,2.0,8.0,4.0,6.0,6.0,4.0,3.0
4.680334075502394,0.0767868360426704,4.5,90.0,3.0,4.0,4.0,3.0,2.0,8.0,5.0,3.0,3.0,7.0,5.0,2.0,2.0,6.0,7.0,2.0,3.0,10.0,8.0,3.0
4.05349836007801,0.08171102496016273,4.8,96.0,4.0,7.0,4.0,4.0,2.0,9.0,5.0,3.0,5.0,7.0,4.0,4.0,2.0,6.0,5.0,2.0,3.0,9.0,8.0,3.0
3.9150713280247658,0.09867259232106772,4.85,97.0,7.0,6.0,6.0,4.0,2.0,8.0,4.0,4.0,3.0,10.0,5.0,3.0,3.0,5.0,7.0,2.0,4.0,6.0,5.0,3.0
4.125127350651836,0.08658653386191516,4.5,90.0,4.0,5.0,7.0,9.0,3.0,7.0,5.0,1.0,3.0,9.0,3.0,2.0,2.0,5.0,7.0,1.0,3.0,6.0,4.0,4.0
4.122812741159793,0.09710516317437812,3.65,73.0,2.0,6.0,4.0,7.0,3.0,7.0,4.0,2.0,4.0,8.0,2.0,4.0,2.0,3.0,5.0,1.0,2.0,3.0,2.0,2.0
3.3826090914177844,0.1246952187441528,3.5,70.0,3.0,6.0,4.0,4.0,3.0,5.0,1.0,1.0,1.0,7.0,3.0,2.0,2.0,2.0,7.0,3.0,4.0,8.0,3.0,1.0
3.386168945424264,0.09693489098269227,3.25,65.0,2.0,2.0,3.0,3.0,5.0,5.0,3.0,1.0,1.0,6.0,3.0,1.0,2.0,3.0,8.0,2.0,3.0,6.0,4.0,2.0
2.31431071792203,0.1695022226112954,3.0,60.0,4.0,3.0,4.0,1.0,2.0,7.0,2.0,1.0,2.0,2.0,4.0,1.0,3.0,3.0,6.0,3.0,3.0,3.0,4.0,2.0
3.6706349352649195,0.1509612743067562,3.05,61.0,2.0,2.0,4.0,3.0,2.0,8.0,4.0,1.0,2.0,2.0,3.0,1.0,4.0,2.0,7.0,4.0,3.0,2.0,2.0,3.0
3.3005916092780705,0.09014099758338599,3.2,64.0,3.0,2.0,5.0,4.0,2.0,7.0,5.0,2.0,3.0,2.0,1.0,1.0,4.0,2.0,6.0,3.0,2.0,4.0,2.0,4.0
3.156184710688664,0.17256619547818058,3.5,70.0,3.0,3.0,5.0,4.0,4.0,10.0,3.0,2.0,2.0,4.0,2.0,3.0,6.0,1.0,4.0,3.0,3.0,5.0,1.0,2.0
4.175549659406978,0.1384633709679603,3.45,69.0,3.0,3.0,5.0,6.0,3.0,5.0,4.0,6.0,3.0,2.0,1.0,4.0,4.0,1.0,6.0,1.0,2.0,6.0,2.0,2.0
3.9396876627805564,0.12405556092147402,3.45,69.0,1.0,3.0,4.0,7.0,2.0,8.0,6.0,4.0,1.0,2.0,2.0,5.0,4.0,3.0,6.0,1.0,1.0,4.0,2.0,3.0
3.7111444595628282,0.12760502523509695,3.95,79.0,3.0,6.0,5.0,7.0,1.0,12.0,5.0,3.0,1.0,4.0,5.0,1.0,3.0,2.0,8.0,1.0,1.0,7.0,2.0,2.0
2.4451231734165484,0.14378144773812593,3.15,63.0,2.0,3.0,4.0,6.0,2.0,8.0,4.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,5.0,2.0,3.0,7.0,2.0,2.0
2.568448666570087,0.11294081978573954,3.2,64.0,2.0,4.0,5.0,4.0,1.0,9.0,3.0,1.0,2.0,3.0,4.0,2.0,2.0,3.0,5.0,2.0,1.0,8.0,2.0,1.0
3.426366099683051,0.10678448354213584,3.7,74.0,3.0,4.0,5.0,5.0,1.0,9.0,4.0,1.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,7.0,2.0,2.0
4.117774592072118,0.14974655420387809,3.4,68.0,2.0,3.0,4.0,8.0,3.0,8.0,3.0,1.0,1.0,4.0,2.0,2.0,3.0,3.0,5.0,4.0,3.0,7.0,1.0,1.0
3.0374143895874264,0.13034662540939984,3.65,73.0,3.0,4.0,7.0,7.0,4.0,8.0,8.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,6.0,2.0,2.0,4.0,2.0,2.0
2.6504001384647053,0.13508576973206624,3.4,68.0,4.0,4.0,5.0,5.0,1.0,8.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,5.0,5.0,1.0,4.0,4.0,2.0,3.0
4.088516143646561,0.09265047736365974,3.7,74.0,3.0,4.0,4.0,4.0,1.0,9.0,5.0,1.0,2.0,4.0,2.0,2.0,2.0,4.0,7.0,2.0,5.0,6.0,2.0,5.0
