lambda,p,avg_N,total_N,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9,N_10,N_11,N_12,N_13,N_14,N_15,N_16,N_17,N_18,N_19,N_20
3.756150682246158,0.11226575122422636,3.45,69.0,4.0,4.0,4.0,4.0,1.0,8.0,4.0,1.0,1.0,5.0,1.0,1.0,2.0,6.0,4.0,2.0,2.0,8.0,3.0,4.0
4.3112983721519855,0.08383408922194709,4.3,86.0,4.0,5.0,7.0,7.0,2.0,12.0,7.0,1.0,2.0,5.0,1.0,2.0,1.0,6.0,5.0,3.0,1.0,6.0,5.0,4.0
3.4320632056129927,0.08312618740628429,4.55,91.0,4.0,3.0,6.0,6.0,3.0,13.0,7.0,1.0,3.0,9.0,1.0,2.0,3.0,4.0,5.0,4.0,2.0,7.0,5.0,3.0
4.015060407065356,0.14472179930058315,4.4,88.0,6.0,3.0,6.0,6.0,3.0,13.0,8.0,1.0,4.0,5.0,3.0,1.0,3.0,6.0,5.0,2.0,2.0,6.0,4.0,1.0
3.333871956509833,0.10933727647825282,4.35,87.0,2.0,3.0,7.0,8.0,4.0,13.0,7.0,2.0,2.0,7.0,2.0,3.0,4.0,4.0,5.0,2.0,1.0,6.0,4.0,1.0
4.096730661478732,0.07924780125375115,4.7,94.0,3.0,10.0,3.0,8.0,4.0,9.0,5.0,2.0,4.0,8.0,3.0,5.0,4.0,5.0,8.0,1.0,2.0,4.0,4.0,2.0
4.485566305563648,0.12243530957901431,4.05,81.0,4.0,6.0,2.0,8.0,4.0,6.0,5.0,2.0,4.0,6.0,4.0,3.0,3.0,5.0,5.0,1.0,2.0,3.0,3.0,5.0
4.5967705240926575,0.09790812086114097,4.4,88.0,4.0,5.0,2.0,7.0,6.0,7.0,6.0,5.0,5.0,9.0,4.0,2.0,5.0,3.0,5.0,1.0,3.0,4.0,2.0,3.0
4.569678698192925,0.11190446141721859,4.35,87.0,5.0,4.0,2.0,7.0,7.0,6.0,7.0,6.0,4.0,5.0,3.0,2.0,4.0,2.0,6.0,2.0,4.0,6.0,3.0,2.0
3.8189370022669995,0.08127575169412979,4.35,87.0,3.0,3.0,5.0,7.0,7.0,7.0,7.0,2.0,4.0,7.0,5.0,3.0,2.0,3.0,5.0,3.0,5.0,4.0,4.0,1.0
4.436338032425273,0.07244312090088473,5.05,101.0,4.0,3.0,5.0,8.0,6.0,10.0,7.0,4.0,1.0,8.0,3.0,4.0,7.0,3.0,7.0,2.0,4.0,9.0,3.0,3.0
4.959626241451511,0.09899282457664511,5.0,100.0,3.0,6.0,5.0,7.0,6.0,11.0,8.0,1.0,1.0,8.0,2.0,6.0,5.0,2.0,6.0,3.0,5.0,8.0,3.0,4.0
4.348492389192146,0.10034079722511219,4.65,93.0,3.0,4.0,6.0,8.0,3.0,7.0,7.0,3.0,1.0,6.0,3.0,3.0,4.0,3.0,8.0,5.0,8.0,5.0,5.0,1.0
5.163234585633725,0.09241572257252913,4.1,82.0,3.0,5.0,4.0,6.0,3.0,7.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,6.0,4.0,5.0,5.0,4.0,5.0
4.962883926866025,0.11083326011644973,4.15,83.0,6.0,4.0,7.0,5.0,3.0,7.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,5.0,7.0,4.0,5.0
4.987484207208633,0.10891576991398379,4.0,80.0,3.0,5.0,4.0,6.0,3.0,7.0,4.0,2.0,3.0,4.0,3.0,2.0,6.0,4.0,8.0,1.0,4.0,7.0,3.0,1.0
4.439996453729835,0.12285693057525382,3.5,70.0,2.0,5.0,3.0,4.0,1.0,9.0,6.0,2.0,2.0,4.0,2.0,1.0,4.0,2.0,7.0,2.0,4.0,6.0,3.0,1.0
4.207209927091221,0.14751636118186048,3.35,67.0,4.0,4.0,2.0,5.0,2.0,11.0,5.0,1.0,2.0,3.0,2.0,1.0,3.0,4.0,5.0,1.0,3.0,4.0,3.0,2.0
3.367210804551201,0.12090502112221438,3.4,68.0,3.0,1.0,4.0,4.0,1.0,9.0,5.0,1.0,2.0,5.0,2.0,2.0,5.0,4.0,6.0,2.0,3.0,5.0,2.0,2.0
2.7668171630460456,0.13776743163335242,3.2,64.0,3.0,2.0,4.0,3.0,2.0,7.0,4.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,8.0,4.0,2.0
