true_lambda,lambda,true_p,p,true_avg_N,avg_N,N
2,3.2425871484251174,0.25,0.1917987286871914,2.0,2.65,"[2, 4, 1, 4, 2, 4, 2, 1, 1, 5, 1, 1, 1, 3, 3, 4, 3, 5, 2, 4]"
2,2.499023333285451,0.25,0.12032890239259897,2.0,3.2,"[4, 3, 4, 4, 5, 5, 4, 2, 2, 4, 1, 1, 5, 4, 3, 1, 4, 4, 2, 2]"
2,1.9498269675305844,0.25,0.17738694133444743,2.0,2.8,"[2, 2, 4, 1, 2, 5, 5, 1, 1, 3, 4, 3, 3, 3, 3, 1, 4, 4, 2, 3]"
2,2.4985198805939803,0.25,0.1439011202335697,2.0,3.2,"[4, 2, 5, 4, 4, 5, 4, 1, 2, 4, 2, 2, 2, 2, 4, 2, 1, 5, 5, 4]"
2,3.9861728709562936,0.25,0.13594201254905824,2.0,3.0,"[3, 2, 2, 4, 4, 5, 2, 2, 1, 3, 5, 1, 2, 4, 5, 1, 5, 4, 1, 4]"
2,2.4700449568294243,0.25,0.12564239954347123,2.0,3.1,"[3, 3, 4, 4, 4, 3, 3, 1, 1, 5, 2, 1, 4, 5, 5, 2, 1, 4, 4, 3]"
2,4.4618419142797725,0.25,0.17579703278990755,2.0,3.2,"[2, 3, 5, 5, 2, 5, 3, 2, 3, 4, 5, 2, 4, 3, 4, 2, 4, 4, 1, 1]"
2,3.4565067384736694,0.25,0.17865347476925464,2.0,2.95,"[5, 4, 4, 1, 1, 5, 2, 1, 1, 4, 2, 2, 2, 2, 3, 5, 2, 5, 4, 4]"
2,2.2461513468805534,0.25,0.1363007798152538,2.0,2.8,"[1, 4, 5, 3, 3, 3, 4, 1, 2, 2, 5, 3, 1, 3, 3, 2, 5, 3, 1, 2]"
2,2.5848749407979126,0.25,0.17666387204600753,2.0,3.05,"[5, 3, 5, 2, 4, 3, 4, 1, 5, 3, 1, 3, 2, 4, 4, 2, 2, 4, 1, 3]"
2,3.5801191031606026,0.25,0.20806265143260572,2.0,2.6,"[2, 2, 2, 1, 3, 4, 2, 1, 5, 5, 2, 3, 5, 4, 3, 1, 1, 3, 1, 2]"
2,1.3695226594929912,0.25,0.14256593452698318,2.0,2.7,"[3, 4, 2, 3, 3, 5, 4, 1, 2, 2, 4, 1, 1, 2, 5, 1, 3, 5, 1, 2]"
